time,.layout.dim,.layout.data_offset,.data
2022/07/07/23:33:34.953811,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.053843,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.153612,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.253623,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.353560,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.453720,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.553575,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.653752,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.753629,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.853603,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:35.953551,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.053599,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.153542,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.253685,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.353574,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.453717,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.553632,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.653597,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.753611,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.853721,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:36.953606,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.053598,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.153598,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.253599,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.353612,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.453453,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.553607,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.653587,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.753630,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.853574,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:37.953608,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.053692,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.153666,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.253593,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.353583,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.453237,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.553576,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.653695,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.753608,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.853588,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:38.953569,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.053785,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.153805,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.253207,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.353542,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.453586,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.553302,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.653612,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.753691,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.853702,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:39.953652,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:40.053210,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:40.153528,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:40.253607,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:40.353600,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:40.453679,[],0,"(0.4363403829403611, 0.8989001893123125, 0.2)"
2022/07/07/23:33:40.653769,[],0,"(0.26296821099553525, 0.8904862482570014, 0.2)"
2022/07/07/23:33:40.753666,[],0,"(0.029761928951040212, 0.8732504521578851, 0.2)"
2022/07/07/23:33:40.853565,[],0,"(-0.2822898662633435, 0.8436953702500962, 0.2)"
2022/07/07/23:33:40.953654,[],0,"(-0.6143072433716333, 0.7909272938820248, 0.2)"
2022/07/07/23:33:41.053757,[],0,"(-0.8212296275733307, 0.7033307302665498, 0.2)"
2022/07/07/23:33:41.153716,[],0,"(-0.8889687165692557, 0.5866847799088821, 0.2)"
2022/07/07/23:33:41.253668,[],0,"(-0.8990987925780352, 0.449082640828266, 0.2)"
2022/07/07/23:33:41.353396,[],0,"(-0.8915414644561221, 0.27942489818581706, 0.2)"
2022/07/07/23:33:41.453564,[],0,"(-0.8750736698079735, 0.052361169359814795, 0.2)"
2022/07/07/23:33:41.553439,[],0,"(-0.8468757133514497, -0.25356803353695473, 0.2)"
2022/07/07/23:33:41.653813,[],0,"(-0.7966116032864498, -0.5894403541962959, 0.2)"
2022/07/07/23:33:41.753502,[],0,"(-0.7120199049483629, -0.810309242922266, 0.2)"
2022/07/07/23:33:41.853497,[],0,"(-0.5972815370701932, -0.8864277463562846, 0.2)"
2022/07/07/23:33:41.953655,[],0,"(-0.46160707829903247, -0.8991887034975521, 0.2)"
2022/07/07/23:33:42.053673,[],0,"(-0.2954784313630727, -0.8925393200682258, 0.2)"
2022/07/07/23:33:42.153394,[],0,"(-0.07436730949812656, -0.8768184128946391, 0.2)"
2022/07/07/23:33:42.253600,[],0,"(0.22515210033052716, -0.8499035523887073, 0.2)"
2022/07/07/23:33:42.353432,[],0,"(0.5636565307417241, -0.8020408392173215, 0.2)"
